ID          NAME                                                          SCORE    EVALUE
----------  ----------------------------------------------------------  -------  --------
JX661491.1  Hepatitis B virus isolate SH1222-C10, complete genome        3642      0
KM213037.1  Hepatitis B virus isolate X15-k1, complete genome            3626      0
JX661490.1  Hepatitis B virus isolate SH1217-C8, complete genome         3615      0
JX661487.1  Hepatitis B virus isolate SH1207-C3, complete genome         3587      0
JX661489.1  Hepatitis B virus isolate SH1218-C9, complete genome         3576      0
AB206816.2  Hepatitis B virus DNA, complete genome, strain: Hiros...     3570      0
JX661488.1  Hepatitis B virus isolate SH1212-C5, complete genome         3570      0
JX661492.1  Hepatitis B virus isolate SH1215-C7, complete genome         3565      0
JX661496.1  Hepatitis B virus isolate SH1208-C4, complete genome         3565      0
JX661493.1  Hepatitis B virus isolate SH1226-C13, complete genome        3559      0
JX661495.1  Hepatitis B virus isolate SH1223-C11, complete genome        3554      0
JX661486.1  Hepatitis B virus isolate SH1225-C12, complete genome        3548      0
AB206817.2  Hepatitis B virus DNA, complete genome, strain: Toran...     3542      0
AF384371.1  Hepatitis B virus isolate G376-7, complete genome            3537      0
JX661494.1  Hepatitis B virus isolate SH1203-C2, complete genome         3531      0
AF363961.1  Hepatitis B virus strain G683-1, complete genome             3526      0
AB819618.1  HBV genotype C DNA, complete genome, isolate: pBS-HBV...     3520      0
AB819617.1  HBV genotype C DNA, complete genome, isolate: pBS-HBV...     3520      0
JX661498.1  Hepatitis B virus isolate SH1213-C6, complete genome         3520      0
AB819615.1  HBV genotype C DNA, complete genome, isolate: pBS-HBV...     3520      0
AB819616.1  HBV genotype C DNA, complete genome, isolate: pBS-HBV...     3520      0
JX661485.1  Hepatitis B virus isolate SH1201-C1, complete genome         3504      0
AF363963.1  Hepatitis B virus strain G683-3, complete genome             3496      0
JQ732168.1  Hepatitis B virus isolate DT2007, complete genome            3476      0
JX661497.1  Hepatitis B virus isolate SH1228-C14, complete genome        3459      0
AF384372.1  Hepatitis B virus isolate G376-A6, complete genome           3426      0
KX765833.1  Hepatitis B virus isolate PID:0657, complete genome          3397      0
AF363962.1  Hepatitis B virus strain G683-2, complete genome             3395      0
KX765837.1  Hepatitis B virus isolate PID:0931, complete genome          3391      0
KX765832.1  Hepatitis B virus isolate PID:0647, complete genome          3387      0
KX765827.1  Hepatitis B virus isolate PID:0387, complete genome          3386      0
KX765831.1  Hepatitis B virus isolate PID:0636, complete genome          3386      0
KX765826.1  Hepatitis B virus isolate PID:0349, complete genome          3386      0
KX765840.1  Hepatitis B virus isolate PID:1070, complete genome          3386      0
KX765846.1  Hepatitis B virus isolate PID:1395, complete genome          3386      0
KX765853.1  Hepatitis B virus isolate PID:9005, complete genome          3380      0
KX765825.1  Hepatitis B virus isolate PID:0313, complete genome          3380      0
KX765850.1  Hepatitis B virus isolate PID:1480, complete genome          3380      0
KX765820.1  Hepatitis B virus isolate PID:0142, complete genome          3380      0
KX765818.1  Hepatitis B virus isolate PID:0022, complete genome          3380      0
AF233236.1  Hepatitis B virus strain adw2 isolate HBV334, complet...     3378      0
KX765830.1  Hepatitis B virus isolate PID:0625, complete genome          3374      0
KX765838.1  Hepatitis B virus isolate PID:0940, complete genome          3369      0
KX765848.1  Hepatitis B virus isolate PID:1422, complete genome          3369      0
KX765834.1  Hepatitis B virus isolate PID:0675, complete genome          3367      0
KX765822.1  Hepatitis B virus isolate PID:0265, complete genome          3367      0
KX765839.1  Hepatitis B virus isolate PID:1024, complete genome          3363      0
KX765842.1  Hepatitis B virus isolate PID:1093, complete genome          3358      0
KX765821.1  Hepatitis B virus isolate PID:0211, complete genome          3347      0
KX765847.1  Hepatitis B virus isolate PID:1406, complete genome          3347      0
KX765851.1  Hepatitis B virus isolate PID:1520, complete genome          3347      0
KX765844.1  Hepatitis B virus isolate PID:1157, complete genome          3347      0
KX765828.1  Hepatitis B virus isolate PID:0496, complete genome          3347      0
KX765849.1  Hepatitis B virus isolate PID:1456, complete genome          3341      0
KX765843.1  Hepatitis B virus isolate PID:1119, complete genome          3341      0
KX765823.1  Hepatitis B virus isolate PID:0274, complete genome          3336      0
KX765819.1  Hepatitis B virus isolate PID:0076, complete genome          3336      0
KX765824.1  Hepatitis B virus isolate PID:0307, complete genome          3325      0
KX765845.1  Hepatitis B virus isolate PID:1359, complete genome          3319      0
KX765855.1  Hepatitis B virus isolate PID:9192, complete genome          3319      0
KC774275.1  Hepatitis B virus isolate cww1126, complete genome           3260      0
KX765852.1  Hepatitis B virus isolate PID:1550, complete genome          3249      0
HM011489.1  Hepatitis B virus strain HB264, complete genome              3245      0
FJ562280.1  Hepatitis B virus isolate I141, complete genome              3243      0
KC774341.1  Hepatitis B virus isolate cxn1040, complete genome           3243      0
KC774332.1  Hepatitis B virus isolate cxn1005, complete genome           3243      0
KC774263.1  Hepatitis B virus isolate cww1069, complete genome           3232      0
KC774259.1  Hepatitis B virus isolate cww1061, complete genome           3232      0
KC774182.1  Hepatitis B virus isolate clz1013, complete genome           3232      0
